Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Streit's: Matzo and the American Dream,"Documentary, Kids & Family, History",7.8,N/A,1h 23min,Michael Levine,2015
Grey Eyes,"Action & Adventure, Science-Fiction",5.3,PG-13,1h 40min,Santiago Ventura,2021
Edison,Documentary,7.5,N/A,1h 53min,Michelle Ferrari,2015
Words on Bathroom Walls,"Drama, Romance",7.1,PG-13,1h 51min,Thor Freudenthal,2020
Vehicle 19,"Mystery & Thriller, Action & Adventure, Romance, Crime",5.1,R,1h 25min,Mukunda Michael Dewil,2013
Kill Chain,"Mystery & Thriller, Action & Adventure",5.0,R,1h 32min,Ken Sanzel,2020
Back of the Net,"Drama, Comedy, Kids & Family",5.2,N/A,1h 26min,Louise Alston,2019
Denial,Drama,6.7,PG-13,1h 50min,Mick Jackson,2016
23 Blast,"Drama, Kids & Family, Sport, Documentary",6.5,PG-13,1h 38min,Dylan Baker,2014
Needle in a Timestack,"Drama, Fantasy, Romance, Science-Fiction",5.2,R,1h 51min,John Ridley,2021
Kalank,"Drama, Romance, History",3.5,N/A,2h 46min,Abhishek Varman,2019
We Are Still Here,"Horror, Documentary, Made in Europe",5.7,N/A,1h 23min,Ted Geoghegan,2015
Cold Zone,"Science-Fiction, Action & Adventure",3.6,N/A,1h 25min,John MacCarthy,2017
My Dad's Christmas Date,"Comedy, Romance, Drama, Kids & Family",5.5,N/A,1h 31min,Mick Davis,2020
Fair Haven,Drama,6.8,N/A,1h 30min,Kerstin Karlhuber,2017
Yuvarathnaa,"Action & Adventure, Drama",6.2,N/A,2h 41min,Santhosh Ananddram,2021
Teacher of the Year,"Comedy, Drama",5.3,N/A,1h 22min,Jason Strouse,2015
A Fine Step,Drama,5.3,PG,1h 30min,Jonathan Meyers,2014
Dark Intentions,"Drama, Horror, Mystery & Thriller",5.3,N/A,1h 30min,Chris Sivertson,2015
11:55,"Drama, Horror, Crime",5.1,N/A,1h 20min,Oh In-chun,2017
One Cut Two Cut,Comedy,4.7,N/A,1h 28min,Vamsidhar Bhogaraju,2022
Nota,Drama,6.2,N/A,2h 26min,Anand Shankar,2018
Too Late to Die Young,"Drama, Made in Europe",6.4,N/A,1h 50min,Dominga Sotomayor,2019
Edie,Drama,6.6,N/A,1h 42min,Simon Hunter,2018
Sebastian Maniscalco: Aren't You Embarrassed?,"Comedy, Documentary",7.8,N/A,1h 3min,John Asher,2014
Alonzo Bodden: Historically Incorrect,"Comedy, Documentary",7.2,N/A,1h 1min,John Asher,2016
Paranormal Activity: The Marked Ones,"Horror, Mystery & Thriller",5.0,R,1h 24min,Christopher Landon,2014
Meet The in-Laws,Comedy,5.9,N/A,1h 15min,Niyi Akinmolayan,2016
The Goldfinch,Drama,6.4,R,2h 29min,John Crowley,2019
Banjara: The Truck Driver,"Drama, Romance",3.4,N/A,2h 11min,Mushtaq Pasha,2018
Black Box,"Horror, Mystery & Thriller, Animation, Science-Fiction",6.2,N/A,1h 40min,"Emmanuel Osei-Kuffour, Jr.",2020
Radioactive,"History, Drama, Romance",6.2,PG-13,1h 43min,Marjane Satrapi,2020
Test,"Drama, Romance, History",6.5,N/A,1h 29min,Chris Mason Johnson,2013
My Heart Can't Beat Unless You Tell It To,"Drama, Horror",6.0,N/A,1h 29min,Jonathan Cuartas,2020
Total Frat Movie,Comedy,4.3,N/A,1h 33min,Warren P. Sonoda,2016
Mamangam,"Mystery & Thriller, Action & Adventure, Drama, History, War & Military, Comedy",5.4,PG-13,2h 37min,Padmakumar M,2019
I Hate the Man in My Basement,"Comedy, Drama, Crime, Romance, Mystery & Thriller",5.8,R,1h 43min,Dustin Cook,2020
Dirty God,"Drama, Made in Europe",6.5,N/A,1h 44min,Sacha Polak,2019
Her Dark Past,Mystery & Thriller,5.1,N/A,1h 20min,Kevin Shulman,2016
Halston,Documentary,7.1,N/A,1h 45min,Frédéric Tcheng,2019
The Expendables 3,"Mystery & Thriller, Action & Adventure",6.1,PG-13,2h 6min,Patrick Hughes,2014
Oh My Dog,"Drama, Kids & Family",6.5,N/A,2h 1min,Sarov Shanmugam,2022
Ruben Guthrie,"Drama, Comedy, Romance",5.8,N/A,1h 34min,Brendan Cowell,2015
DC Noir,Crime,6.1,N/A,1h 34min,George Pelecanos,2019
Baristas,Documentary,6.5,N/A,1h 38min,Rock Baijnauth,2019
Sniper: Ultimate Kill,"Action & Adventure, Mystery & Thriller, Drama",5.6,R,1h 30min,Claudio Fäh,2017
The House of Us,"Drama, Documentary",N/A,N/A,1h 33min,Yoon Ga-eun,2019
Before All Others,Kids & Family,5.1,PG,1h 26min,Auturo Gavino,2016
Tennessee Whiskey: The Dean Dillon Story,"Documentary, Music & Musical",8.2,N/A,1h 22min,Cole Claassen,2017
Volcano,"Mystery & Thriller, Action & Adventure",N/A,N/A,1h 37min,N/A,2020
The Evil That Men Do,"Mystery & Thriller, Made in Europe",4.9,N/A,1h 34min,Ramon Térmens,2015
Scrapper,Drama,6.5,N/A,1h 25min,Brady Hall,2013
As Far As The Eye Can See,"Drama, Music & Musical",5.5,N/A,1h 28min,David Franklin,2016
Thrill Ride,"Comedy, Action & Adventure, Fantasy",5.4,PG,1h 26min,Chris Parrish,2017
Bliss,"Science-Fiction, Drama, Romance",5.3,R,1h 43min,Mike Cahill,2021
Waiting for the Barbarians,"Drama, Made in Europe",5.9,R,1h 54min,Ciro Guerra,2019
Man of the Match,"Comedy, Drama",6.6,N/A,1h 55min,D Satya Prakash,2022
Chick Fight,"Action & Adventure, Comedy, Drama, Sport",4.8,R,1h 37min,Paul Leyden,2020
Doors,Science-Fiction,3.5,N/A,1h 24min,Jeff Desom,2021
Little Horror Movie,Horror,4.4,N/A,1h 24min,Jérôme Cohen-Olivar,2019
Kesari,"Drama, Action & Adventure, History, Mystery & Thriller, War & Military",7.4,N/A,2h 35min,Anurag Singh,2019
Bliss,"Horror, Mystery & Thriller, Drama",5.9,N/A,1h 20min,Joe Begos,2019
Tel Aviv on Fire,"Comedy, Drama, Romance, Made in Europe",6.7,N/A,1h 40min,Sameh Zoabi,2018
Do You Do You Saint-Tropez,"Comedy, Crime",4.9,PG,1h 29min,Nicolas Benamou,2021
Two for Joy,Drama,6.2,PG-13,1h 26min,Tom Beard,2018
Causality,"Mystery & Thriller, Drama",5.3,N/A,1h 54min,Marcelo Politano,2021
Citizen K,"Documentary, Crime",7.1,N/A,1h 0min,Alex Gibney,2018
A Very Sordid Wedding,Comedy,5.4,N/A,1h 49min,Del Shores,2017
All My Friends Are Dead,Horror,4.1,N/A,1h 10min,Brandon Guiles,2021
Kooman,"Mystery & Thriller, Drama",7.3,N/A,2h 31min,Jeethu Joseph,2022
The Priest,"Drama, Horror, Mystery & Thriller",6.0,N/A,2h 20min,Jofin T. Chacko,2021
One Under the Sun,"Science-Fiction, Drama, Mystery & Thriller",3.5,N/A,1h 42min,Vincent Tran,2017
Garden of Hedon,Horror,3.2,N/A,1h 59min,Kevin Kangas,2013
American Commune,Documentary,6.8,N/A,1h 30min,Rena Mundo Croshere,2013
Eating Our Way to Extinction,Documentary,7.6,N/A,1h 21min,Otto Brockway,2021
Bite Me,"Romance, Comedy",5.7,N/A,1h 23min,Meredith Edwards,2022
Wacken: Louder Than Hell,"Documentary, Music & Musical, Made in Europe",6.6,N/A,1h 36min,Norbert Heitker,2014
Last Night in Rozzie,Drama,5.1,R,1h 20min,N/A,2021
Federica Pellegrini - Underwater,Documentary,6.4,N/A,1h 30min,Sara Ristori,2022
"Angry, White and American",Documentary,5.9,PG-13,1h 5min,Jenny Ash,2017
Honsla Rakh,"Comedy, Drama, Romance",7.3,N/A,2h 25min,Amarjit Singh Saron,2021
Muddy,"Mystery & Thriller, Action & Adventure",6.1,N/A,2h 17min,Pragabhal,2021
Bachelor Games,"Horror, Mystery & Thriller, Comedy, Action & Adventure",4.4,N/A,1h 26min,Guðmundur Elí Jóhannsson,2016
Cows Wearing Glasses,"Drama, Kids & Family",7.7,G,1h 33min,Alex Santiago Pérez,2014
Love Me Tender,"Drama, Made in Europe",6.1,N/A,1h 23min,Klaudia Reynicke,2019
"Don't Worry, He Won't Get Far on Foot","Comedy, Drama, Made in Europe",6.8,R,1h 54min,Gus Van Sant,2018
Thugs of Hindostan,"Action & Adventure, Music & Musical",4.0,PG,2h 44min,Vijay Krishna Acharya,2018
Rangasthalam,"Action & Adventure, Drama",8.2,PG-13,2h 59min,Sukumar,2018
A Christmas Kiss II,"Romance, Comedy",6.0,N/A,1h 30min,Kevin Conner,2014
A Very Country Christmas,"Drama, Romance, Comedy, Kids & Family",6.1,G,1h 23min,Justin G. Dyck,2017
"Mummy, I'm a Zombie","Fantasy, Animation, Horror, Made in Europe",4.6,PG,1h 28min,Ricardo Ramón,2014
Winter of The Braves,"History, War & Military, Drama, Action & Adventure",5.9,N/A,1h 50min,Aleksey Shaparev,2018
Missing,"Mystery & Thriller, Drama",5.8,N/A,2h 0min,Mukul Abhyankar,2018
Darling,"Mystery & Thriller, Horror",5.5,N/A,1h 18min,Mickey Keating,2015
Jimmy Vestvood: Amerikan Hero,Comedy,5.1,N/A,1h 24min,Jonathan Kesselman,2016
Richard the Lionheart: Rebellion,"Drama, Action & Adventure, History",2.6,N/A,1h 36min,Stefano Milla,2015
Hoovey,"Kids & Family, Drama",5.7,PG,1h 30min,Sean McNamara,2015
Gook,Drama,7.0,N/A,1h 34min,Justin Chon,2017
Milton's Secret,"Drama, Kids & Family",5.9,PG,1h 28min,Barnet Bain,2016
Baja,Comedy,4.1,PG-13,1h 46min,Tony Vidal,2018
V,"Mystery & Thriller, Action & Adventure, Crime",6.8,N/A,2h 20min,Mohana Krishna Indraganti,2020
Kanan Gill: Keep It Real,Comedy,8.0,N/A,1h 5min,Sizil Srivastava,2017
Sister Code,"Comedy, Drama, Romance",4.2,R,1h 24min,Corey Grant,2015
Malayankunju,"Mystery & Thriller, Drama",6.9,N/A,1h 52min,Sajimon Prabhakar,2022
No No: A Dockumentary,"Documentary, Sport",7.2,N/A,1h 40min,Jeffrey Radice,2014
Fury of the Fist and the Golden Fleece,"Action & Adventure, Comedy",2.9,N/A,1h 47min,Alexander Wraith,2018
Lewis Black: Black to the Future,Comedy,6.8,N/A,49min,Justin Kreutzmann,2016
G.I. Joe: Retaliation,"Mystery & Thriller, Action & Adventure, Science-Fiction",5.7,PG-13,1h 50min,Jon M. Chu,2013
Road to the Well,"Drama, Mystery & Thriller, Comedy",5.9,N/A,1h 48min,N/A,2016
An American in Texas,"Drama, War & Military, Crime, Music & Musical, Made in Europe",5.1,N/A,1h 37min,Anthony Pedone,2017
Фидел Кастро: Изгубените записи,"Documentary, History",7.3,N/A,56min,Tom Jennings,2014
Breach,"Science-Fiction, Action & Adventure, Horror, Mystery & Thriller",2.9,R,1h 32min,John Suits,2020
Euphoria,"Drama, Made in Europe",5.8,R,1h 44min,Lisa Langseth,2018
Kita Kita,"Comedy, Drama, Romance",7.5,N/A,1h 24min,Sigrid Andrea Bernardo,2017
47 Days,"Action & Adventure, Drama, Mystery & Thriller",5.2,N/A,2h 10min,Pradeep Maddali,2020
Dogged,"Horror, Comedy",3.4,R,1h 56min,Richard Rowntree,2017
Jill-Michele Meleán: White / Latina,Comedy,5.2,N/A,1h 2min,Alex Ferrari,2019
Veerappan,"Action & Adventure, Crime",5.3,PG-13,2h 5min,Ram Gopal Varma,2016
Grand Cru,Documentary,6.2,N/A,1h 20min,N/A,2018
7500,"Drama, Mystery & Thriller, Action & Adventure",6.3,R,1h 33min,Patrick Vollrath,2019
Out on Stage,Comedy,7.1,N/A,1h 22min,Samuel Brownfield,2018
Exposed,"Drama, Crime, Mystery & Thriller",4.3,R,1h 42min,Gee Malik Linton,2016
Orange,"Comedy, Drama, Romance",4.5,N/A,2h 18min,N/A,2018
The Final Wish,Horror,4.3,R,1h 35min,Timothy Woodward Jr.,2019
Mary and The Witch's Flower,"Fantasy, Kids & Family, Animation",6.8,PG,1h 43min,Hiromasa Yonebayashi,2017
The Pirates,"Fantasy, Comedy, Action & Adventure",6.5,PG-13,2h 10min,Lee Suk-hoon,2014
Tarzan,"Animation, Action & Adventure, Kids & Family, Drama, Made in Europe",4.8,G,1h 34min,Reinhard Klooss,2013
Sharknado,"Horror, Comedy, Science-Fiction, Mystery & Thriller, Action & Adventure",3.3,R,1h 28min,Anthony C. Ferrante,2013
Madame,"Drama, Comedy, Documentary, History, Romance, Made in Europe",6.1,N/A,1h 31min,Amanda Sthers,2017
Knights of Badassdom,"Comedy, Horror, Fantasy, Action & Adventure",5.5,R,1h 26min,Joe Lynch,2013
Superfast!,Comedy,4.1,PG-13,1h 39min,Jason Friedberg,2015
Pariyerum Perumal,"Romance, Drama",8.7,PG,2h 35min,Mari Selvaraj,2018
The Horde,"Action & Adventure, Horror",N/A,N/A,1h 28min,Jared Cohn,2016
Cosmos,"Mystery & Thriller, Science-Fiction",6.0,N/A,2h 8min,Zander Weaver,2019
The Ghazi Attack,"War & Military, Mystery & Thriller, Action & Adventure",7.5,PG,2h 6min,Sankalp Reddy,2017
The 12th Suspect,"Mystery & Thriller, History, Crime, Drama",5.7,N/A,1h 42min,Ko Myoung-sung,2019
Lilith,Horror,3.1,R,1h 30min,Alexander T. Hwang,2018
Among the Shadows,"Horror, Mystery & Thriller, Action & Adventure, Crime, Drama, Science-Fiction",2.1,N/A,1h 30min,Tiago Mesquita,2019
Jurassic Island,"Action & Adventure, Science-Fiction",3.1,N/A,1h 17min,Dominic Ellis,2022
Hawking,"Documentary, Comedy, Drama",7.3,R,1h 26min,Stephen Finnigan,2013
Driven to Dance,Drama,5.6,N/A,1h 38min,N/A,2018
Mourning Son,"Documentary, Crime, Drama",7.6,N/A,1h 47min,Todd Newman,2015
A Reckoning,"Western, History, War & Military, Crime, Drama, Horror",3.6,N/A,1h 20min,Justin Lee,2018
Doug Benson: Doug Dynasty,Comedy,5.9,N/A,1h 0min,N/A,2014
Sideshow,"Comedy, Crime",5.5,N/A,1h 34min,Adam Oldroyd,2022
The Mongolian Connection,Action & Adventure,5.6,N/A,1h 30min,Drew Thomas,2019
One Must Fall,"Drama, Horror, Mystery & Thriller, Comedy, Crime",4.0,R,1h 36min,Antonio Pantoja,2021
TQM,Mystery & Thriller,4.1,N/A,1h 19min,Oren Stambouli,2022
Manifest Destiny Down: Spacetime,"Comedy, Romance, Science-Fiction",4.1,N/A,1h 41min,Jonathan Baker,2019
"My Teacher, My Obsession","Drama, Mystery & Thriller",4.4,N/A,1h 45min,Damián Romay,2018
Kung Fu Jungle,"Mystery & Thriller, Drama, Action & Adventure, Crime",6.4,N/A,1h 40min,Teddy Chan,2014
The Silencing,"Mystery & Thriller, Action & Adventure, Crime",6.2,R,1h 33min,Robin Pront,2020
Here on Out,Mystery & Thriller,4.0,N/A,1h 27min,Matias Breuer,2019
Phantom of the Grindhouse,,N/A,N/A,1h 0min,Chris Seaver,2014
The Last Sharknado: It's About Time,"Comedy, Action & Adventure, Fantasy, Horror, Science-Fiction, Mystery & Thriller",3.5,N/A,1h 30min,Anthony C. Ferrante,2018
Finding Faith,"Mystery & Thriller, Drama, Kids & Family",6.2,N/A,1h 51min,Justin Rossbacher,2013
Palestine,Drama,5.9,N/A,1h 18min,Julio Soto Gurpide,2017
Itecho,"Documentary, Drama",N/A,N/A,50min,N/A,2015
Cold War,"Drama, Romance, History, Music & Musical, Made in Europe",7.5,R,1h 28min,Paweł Pawlikowski,2018
Mortal,"Fantasy, Mystery & Thriller, Action & Adventure, Drama, Made in Europe",5.9,R,1h 44min,André Øvredal,2020
Acharya,"Drama, Action & Adventure",3.8,N/A,2h 32min,Koratala Siva,2022
Dear White People,"Drama, Comedy, Romance",6.1,R,1h 48min,Justin Simien,2014
Avalanche Sharks,"Horror, Comedy, Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",2.3,N/A,1h 22min,Scott Wheeler,2014
Asteroid: Final Impact,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",3.5,N/A,1h 30min,Jason Bourque,2015
Along Came the Devil II,"Horror, Mystery & Thriller",4.3,N/A,1h 27min,N/A,2019
Prodigy,"Mystery & Thriller, Science-Fiction, Drama",6.0,N/A,1h 20min,Alex Haughey,2017
Western World,Western,3.0,N/A,1h 19min,Lana Read,2017
Taking Earth,Science-Fiction,2.7,N/A,2h 0min,Grant Humphreys,2017
Night Comes On,Drama,6.7,N/A,1h 30min,Jordana Spiro,2018
Ace the Case: Manhattan Mystery,"Mystery & Thriller, Kids & Family",4.1,PG-13,1h 34min,Kevin Kaufman,2016
She's in Portland,"Drama, Comedy",5.7,R,1h 41min,Marc Carlini,2020
Burton and Taylor,Drama,6.4,N/A,1h 23min,Richard Laxton,2013
12 Dog Days Till Christmas,"Comedy, Drama, Kids & Family, Romance",4.7,N/A,1h 30min,Charlie Vaughn,2014
The Posthuman Project,"Science-Fiction, Action & Adventure, Comedy",4.0,N/A,1h 33min,Kyle William Roberts,2014
The Fighting Preacher,"Drama, History, Comedy",5.8,PG,1h 40min,T.C. Christensen,2019
My Dad Is Scrooge,"Comedy, Kids & Family",4.4,N/A,1h 27min,Justin G. Dyck,2014
Varsity Punks,"Drama, Comedy, Sport",6.3,N/A,1h 40min,Anthony Solorzano,2017
8 Days,"Drama, Mystery & Thriller",4.6,N/A,1h 30min,Jaco Booyens,2014
Eddie Griffin: Undeniable,Comedy,5.2,PG,1h 14min,Gobi M. Rahimi,2018
The Christmas Colt,"Kids & Family, Drama",3.7,G,1h 25min,Gregory Ryan Alosio,2013
The Privileged,"Mystery & Thriller, Drama",4.5,N/A,1h 18min,Leah Walker,2013
Sixer,"Comedy, Romance",5.7,G,2h 21min,Chachi,2019
Lost Creek,"Horror, Drama, Mystery & Thriller, Crime, Fantasy",4.8,N/A,1h 32min,N/A,2016
Cinderella,"Fantasy, Romance, Comedy, Kids & Family",4.3,PG,1h 53min,Kay Cannon,2021
The Protector 2,Action & Adventure,5.2,R,1h 44min,Prachya Pinkaew,2013
The Trip,Drama,8.0,N/A,1h 34min,Vamsi Krishna Akella,2021
The Divine Fury,"Action & Adventure, Horror, Mystery & Thriller",6.3,N/A,2h 9min,Kim Joo-hwan,2019
Beverly H.,"Drama, Science-Fiction, Mystery & Thriller",5.9,N/A,1h 24min,Jason Fischer,2022
Restricted Area: Baron Palace,"Mystery & Thriller, Horror",N/A,N/A,1h 25min,mohamed fikry,2016
The Fanatic,"Crime, Mystery & Thriller, Drama, Horror",4.1,R,1h 29min,Fred Durst,2019
Let Yourself Go,"Comedy, Made in Europe",6.0,N/A,1h 47min,Francesco Amato,2017
Sherni,"Action & Adventure, Drama, Mystery & Thriller",6.8,N/A,2h 11min,N/A,2021
Be Afraid,"Horror, Mystery & Thriller, Science-Fiction",4.7,R,1h 39min,Drew Gabreski,2017
Wiener-Dog,"Drama, Comedy",5.9,R,1h 28min,Todd Solondz,2016
Girls of the Sun,"Drama, War & Military, Made in Europe",6.5,N/A,1h 51min,Eva Husson,2018
Sye Raa Narasimha Reddy,"Drama, Action & Adventure, History, War & Military",7.3,N/A,2h 49min,Surender Reddy,2019
If I Had Wings,"Drama, Kids & Family, Sport",7.1,PG,1h 29min,Allan Harmon,2013
How to Steal a Dog,"Drama, Comedy, Kids & Family, Crime",6.9,N/A,1h 49min,Kim Sung-ho,2014
D@bbe 5: Curse of the Jinn,Horror,5.9,R,1h 53min,Hasan Karacadag,2014
"An American Girl Story: Summer Camp, Friends For Life",Kids & Family,6.4,N/A,32min,Alison McDonald,2017
Hello Charlie,"Action & Adventure, Comedy",5.5,N/A,1h 42min,Pankaj Saraswat,2021
Selfie Dad,"Kids & Family, Comedy",4.3,PG,1h 37min,Brad J. Silverman,2020
Kevin Smith: Silent but Deadly,"Comedy, Documentary",6.9,R,1h 25min,Gil Cunha,2018
Santa Girl,"Kids & Family, Romance, Comedy",5.0,N/A,1h 30min,Blayne Weaver,2019
Bharat,"Drama, Action & Adventure, Comedy",4.7,N/A,2h 35min,Ali Abbas Zafar,2019
Invisible Ones,"Comedy, Made in Europe, Sport",5.3,N/A,1h 38min,Frédéric Berthe,2013
Time Sleeper,"Science-Fiction, Drama",4.4,N/A,1h 33min,Bisong Taiwo,2020
Zana,"Drama, Horror, Mystery & Thriller",7.5,N/A,1h 37min,Antoneta Kastrati,2019
Mark & Russell's Wild Ride,"Comedy, Kids & Family",5.2,N/A,1h 26min,Jonathan A. Rosenbaum,2015
Naachiyaar,"Mystery & Thriller, Action & Adventure, Drama",6.8,N/A,1h 40min,Bala,2018
Sardaarji 2,"Comedy, Action & Adventure",5.2,N/A,2h 25min,Rohit Jugraj,2016
Dassehra,"Mystery & Thriller, Action & Adventure",3.7,N/A,1h 49min,Manish Vatsalya,2018
Brian Posehn: The Fartist,Comedy,6.5,N/A,58min,Jay Chapman,2013
Makala,"Documentary, Made in Europe",7.6,N/A,1h 37min,Emmanuel Gras,2017
Bastille ReOrchestrated,"Documentary, Music & Musical",8.2,N/A,1h 10min,Tom Middleton,2021
Patrick's Day,"Drama, Kids & Family, Romance, Made in Europe",6.6,N/A,1h 42min,Terry McMahon,2014
A Year in Champagne,Documentary,6.5,N/A,1h 22min,David Kennard,2014
Falcon Song,"Fantasy, Western, Kids & Family",5.4,PG,1h 45min,Jason Corgan Brown,2014
Flashback,"Mystery & Thriller, Drama",5.3,R,1h 37min,Christopher MacBride,2020
Haunted Transylvania 2,Animation,2.5,G,1h 11min,Pippa Seymour,2018
The River: A Documentary Film,Documentary,6.4,N/A,1h 31min,N/A,2020
"Olympic Pride, American Prejudice","History, Documentary, Made in Europe",7.2,PG,1h 30min,Deborah Riley Draper,2016
A Box of Faith,Kids & Family,6.1,G,1h 30min,Auturo Gavino,2015
The Boy Who Killed My Parents,"Crime, Drama, Mystery & Thriller",6.1,N/A,1h 27min,Maurício Eça,2021
ReRun,"Drama, Fantasy, Made in Europe",5.3,G,1h 31min,N/A,2018
The Turkish Way,Made in Europe,N/A,N/A,2h 0min,N/A,2016
Big Trip 2: Special Delivery,"Animation, Kids & Family, Action & Adventure, Comedy",4.7,PG,1h 30min,Vasiliy Rovenskiy,2022
Madres,Horror,4.8,N/A,1h 23min,Ryan Zaragoza,2021
Legends of Oz: Dorothy's Return,"Animation, Fantasy, Kids & Family",5.0,PG,1h 32min,Dan St. Pierre,2014
